"scenario","n","method","quantity","time","n_success","bias","mse","rmse","se"
"S2_Weibull_challenging",100,"Best_AIC","hazard",200,30,-8.08296701958309e-05,6.32420218363397e-08,0.000251479664856504,0.000242206636457043
"S2_Weibull_challenging",100,"Best_AIC","mean",NA,30,15.6526003726975,2991.42052001323,54.6938800965266,53.3021635866674
"S2_Weibull_challenging",100,"Best_AIC","probability",NA,30,-0.144639391576536,0.0448960474398688,0.211886874156633,0.157487253488278
"S2_Weibull_challenging",100,"Generating","hazard",150,30,-6.66601864385113e-05,7.12508407187768e-08,0.000266928531106693,0.00026288963253143
"S2_Weibull_challenging",100,"Generating","hazard",200,30,-4.97781779224581e-05,6.03975577519289e-08,0.000245759145815428,0.000244779332196014
"S2_Weibull_challenging",100,"Generating","mean",NA,30,16.8883982800899,3039.34479923933,55.1302530307937,53.3769303400183
"S2_Weibull_challenging",100,"Generating","probability",NA,30,-0.131852576269777,0.0412329320767744,0.203058937446187,0.157067403303422
"S3_Mixture_misspecified",20,"AIC_MA","hazard",150,30,0.000193130934720164,6.61766835434356e-07,0.000813490525718865,0.000803741644985891
"S3_Mixture_misspecified",20,"AIC_MA","hazard",200,30,-9.70223107341865e-05,8.44192979943401e-07,0.000918799749642653,0.000929282065024244
"S3_Mixture_misspecified",20,"AIC_MA","mean",NA,30,1.9225472560305e+48,1.10885638550113e+98,1.05302249999757e+49,1.05302249999757e+49
"S3_Mixture_misspecified",20,"AIC_MA","probability",NA,30,-0.299083349292531,0.22356960832913,0.472831479841529,0.372482943611019
"S3_Mixture_misspecified",20,"Best_AIC","hazard",150,30,0.000171717308309276,6.77874334915777e-07,0.000823331242523795,0.000818990653567229
"S3_Mixture_misspecified",20,"Best_AIC","hazard",200,30,-9.23472834242625e-05,9.11188705796398e-07,0.000954562049212306,0.000966326505669381
"S3_Mixture_misspecified",20,"Best_AIC","mean",NA,30,14.6693902434778,29769.8133739193,172.539309648321,174.853502318085
"S3_Mixture_misspecified",20,"Best_AIC","probability",NA,30,-0.296181000124299,0.227850597723189,0.477336985496818,0.380735331488078
