"scenario","n","method","quantity","time","median_estimate","median_error","mae","median_abs_error","max_abs_error"
"S1_Gamma_well_specified",50,"Best_AIC","hazard",150,0.00319560240753597,9.21541316739021e-05,0.000556161901963637,0.000453116101194641,0.00169529778707941
"S1_Gamma_well_specified",50,"Best_AIC","hazard",200,0.00420998995463581,0.000209989954635808,0.000673249475248368,0.000685666594830682,0.00158139986246917
"S1_Gamma_well_specified",50,"Best_AIC","mean",NA,295.975953551214,-4.02404644878615,14.6047795314571,12.8352165036824,42.6070750552957
"S1_Gamma_well_specified",50,"Best_AIC","probability",NA,0.478606706707488,-0.107104882361159,0.219218158455315,0.122082646482292,0.71286107447043
"S1_Gamma_well_specified",50,"Generating","hazard",150,0.00322196661348919,0.000118518337627123,0.000317159516041174,0.000265650064082502,0.00083050379760951
"S1_Gamma_well_specified",50,"Generating","hazard",200,0.00414911661710013,0.000149116617100132,0.000406870068774843,0.000314182918053055,0.00100290831619378
"S1_Gamma_well_specified",50,"Generating","mean",NA,293.809846050654,-6.19015394934576,14.8747115098873,13.1555933943982,42.5406496010574
"S1_Gamma_well_specified",50,"Generating","probability",NA,0.39218533889557,-0.193526250173077,0.201460992815468,0.193526250173077,0.591589868975313
"S1_Gamma_well_specified",100,"AIC_MA","hazard",150,0.00329309672503061,0.000189648449168545,0.000403507786622981,0.000401618816495946,0.00117309789081885
"S1_Gamma_well_specified",100,"AIC_MA","hazard",200,0.00425737785839035,0.000257377858390352,0.000512067152435166,0.000480385264019488,0.00160571672618869
"S1_Gamma_well_specified",100,"AIC_MA","mean",NA,295.15942010534,-4.84057989466029,14.4790661064841,15.8066937234671,31.7955595893886
"S1_Gamma_well_specified",100,"AIC_MA","probability",NA,0.417537703314932,-0.168173885753715,0.187657934195717,0.168173885753715,0.497664255336785
"S1_Gamma_well_specified",100,"Best_AIC","hazard",150,0.00321057821161597,0.000107129935753896,0.000411206759398492,0.000332775782841846,0.00129144082224138
"S1_Gamma_well_specified",100,"Best_AIC","hazard",200,0.00418044564169618,0.00018044564169618,0.000510362250396523,0.000385208704412798,0.0017830260499559
"S1_Gamma_well_specified",100,"Best_AIC","mean",NA,294.281656099215,-5.7183439007855,15.1712831809427,15.8048062418089,32.4318694990079
"S1_Gamma_well_specified",100,"Best_AIC","probability",NA,0.408985979006857,-0.176725610061789,0.195091980709041,0.176725610061789,0.522464315129328
"S1_Gamma_well_specified",100,"Generating","hazard",150,0.00323166330639557,0.000128215030533503,0.000279868537044088,0.000285490173098852,0.000732715815957856
"S1_Gamma_well_specified",100,"Generating","hazard",200,0.00418044564169618,0.00018044564169618,0.000396906384223442,0.000353232467560351,0.00104762710483082
"S1_Gamma_well_specified",100,"Generating","mean",NA,292.641327726374,-7.3586722736265,14.8511364138974,15.6323530981022,32.4318694990079
"S1_Gamma_well_specified",100,"Generating","probability",NA,0.430403028822561,-0.155308560246086,0.184014631167224,0.155308560246086,0.404343767662201
"S2_Weibull_challenging",20,"AIC_MA","hazard",150,0.00278534174081743,-8.73285569873736e-05,0.000535509123006466,0.000373505411188144,0.00164562752770252
"S2_Weibull_challenging",20,"AIC_MA","hazard",200,0.00258066344303667,-5.44794063626548e-05,0.000503082441884791,0.000382609508922111,0.00169949538780595
"S2_Weibull_challenging",20,"AIC_MA","mean",NA,425.395566186264,45.648514369079,2963.40526956416,86.4580344813934,84191.9791556223
"S2_Weibull_challenging",20,"AIC_MA","probability",NA,0.516845696067527,-0.118685666410445,0.33987555648115,0.27964184491578,1.09932190812676
